"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Andropogon virginicus",0.833882860265614,0.551941460079997,0.778
"Baccharis halimifolia",0.622900668466956,-0.782300937762074,0.633
"Bareground",-0.94784965424511,0.31871779515337,0.001
"Bulbostylis spp.",-0.938176433436129,0.346157449356597,0.663
"Cirsium spp.",0.272292495774694,0.962214527402693,0.378
"Crotalaria rotundifolia",0.831297820228878,-0.555827252015153,0.207
"Crotalaria spectabilis",0.166402940539239,-0.986057838759925,0.072
"Cynodon dactylon",-0.0845067278807538,-0.996422908680289,0.01
"Cyperus esculentus",-0.107523816672943,-0.994202508972937,0.001
"Cyperus spp.",-0.47269711600541,-0.881224963627431,0.946
"Dichanthelium spp.",-0.952768146790471,0.303698630983829,0.227
"Dichondra spp.",-0.985451848060085,0.169954862110397,0.001
"Eremochloa ophiuroides",-0.210786439105077,0.97753213609037,0.393
"Erigeron bonariensis",-0.962918481202461,0.269792510197644,0.171
"Erigeron canadensis",0.67029886720689,-0.742091253567349,0.133
"Eupatorium capilifolium",0.459260132299811,0.888301824201639,0.003
"Euphorbia heterophylla",0.910714292143275,-0.413036896761019,0.523
"Galactia spp.",0.410963095987749,-0.911651980602337,0.095
"Gamochaeta spp.",0.399523267050293,0.916723054736522,0.062
"Indigofera hirsuta",0.330136350063112,0.943933255250077,0.694
"Indigofera spicata",0.977277190979442,0.211965308461861,0.312
"Lactuca canadensis",0.603811866534429,-0.797126859309237,0.051
"Liquidambar styraciflua",-0.0338716345241743,-0.999426191559267,0.149
"Oenothera laciniata",0.0836320015617806,-0.996496707628666,0.027
"Oenothera simulans",0.482194896389607,-0.87606397134902,0.411
"Oldenlandia corymbosa",-0.837326500065475,-0.54670314823321,0.185
"Oxalis corniculata",0.510248882066935,-0.860026789320799,0.001
"Paspalum notatum",0.589783813182387,0.807561176449217,0.001
"Paspalum setaceum",0.360705923415367,-0.932679600298552,0.001
"Phyllanthus urinaria",-0.957513373524715,0.288388868580809,0.388
"Phytolacca americana",0.970621116188639,0.240613068657379,0.625
"Richardia spp.",0.430997360244989,-0.902353187760675,0.165
"Rubus spp.",0.212730961344646,0.977110811569181,0.017
"Rumex hastatulus",0.887942613774712,-0.459954252771874,0.016
"Solanum viarum",0.0574705538213141,-0.998347201850875,0.001
"Urtica dioica",0.632386859996519,0.774652734651949,0.424
"Verbena spp.",0.330093026876898,-0.943948406221043,0.159
