"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bareground",0.147502159606346,0.989061733620032,0.001
"Cnidoscolus stimulosus",-0.451868921863607,-0.892084344360903,0.888
"Cynodon dactylon",0.281536625133128,0.959550482626448,0.002
"Cyperus spp.",0.675333974227206,-0.737512049565624,0.017
"Eremochloa ophiuroides",0.646766732628311,-0.762687874274463,0.001
"Oxalis corniculata",0.625997681888457,-0.779824917702864,0.093
"Paspalum notatum",-0.940817825768454,-0.33891270073032,0.001
"Paspalum setaceum",0.113716525423877,0.993513236874839,0.098
"Richardia spp.",0.0808899808029017,0.996723036257167,0.104
