"","Species","Contribution","P_value","Rank"
"Eragrostis spectabilis","Eragrostis spectabilis",0.0964841334401479,0.02,1
"Bareground","Bareground",0.0774773263190389,0.001,2
"Cynodon dactylon","Cynodon dactylon",0.0577773792707232,0.016,3
"Indigofera hirsuta","Indigofera hirsuta",0.0146416644834208,0.03,4
"Cyperus spp.","Cyperus spp.",0.0096637222179548,0.02,5
"NA",NA,NA,NA,6
